순위,업소명,주소,분류,현지인 검색 수
161,하늘만큼,대전 동구 동부로33번길 46-58,카페/찻집,1480
162,학짬뽕대전점 [중식],대전 서구 월평로 94-1,외국식,1470
163,만년닭강정둔산직영점,대전 서구 대덕대로 179-0,간이음식,1464
164,모루,대전 서구 봉우로56번길 7-15,전문음식,1440
165,점선면,대전 중구 부용로 44-0,카페/찻집,1439
165,중부회수산시장,대전 대덕구 계족로 544-0,전문음식,1439
167,원조태평소국밥갈마점,대전 서구 신갈마로 179-0,한식,1433
168,짬뽕차이나[중식],대전 동구 대전로 463-0,외국식,1430
169,구들마루정림점,대전 서구 정림로65번길 32-10,한식,1428
170,희락반점[중식],대전 중구 중앙로129번길 21-0,외국식,1407
171,봉이호떡,대전 동구 산내로 111-0,간이음식,1394
172,대성콩국수,대전 서구 도산로 137-0,한식,1376
173,정일품두손두부,대전 서구 둔산대로117번길 34-0,한식,1375
174,바다황제,대전 중구 대흥로121번길 43-0,전문음식,1370
175,만년한정담대전본점 [한식],대전 서구 만년남로3번길 64-0,한식,1362
176,바질리코관저점,대전 서구 관저중로64번길 26-0,외국식,1347
177,태원[중식],대전 서구 문정로 19-0,외국식,1343
178,풀스가든,대전 서구 도안중로311번길 42-0,전문음식,1340
179,샤브쌈주머니탄방점,대전 서구 둔산중로14번길 15-4,전문음식,1327
180,드롭탑대전월평점,대전 서구 계룡로264번길 41-0,카페/찻집,1314
181,마실둔산점 [한식],대전 서구 둔산중로 74-0,한식,1308
182,별미동태,대전 서구 원도안로241번길 14-4,한식,1307
183,맛청둔산점,대전 서구 둔산로51번길 16-0,한식,1301
184,달빛에구운고등어관저점,대전 서구 구봉로 123-0,한식,1269
185,사리원면옥본점,대전 중구 중교로 62-0,한식,1263
186,모루,대전 서구 둔산남로9번길 29-0,전문음식,1261
187,미세노센세,대전 서구 계룡로553번안길 65-0,전문음식,1257
188,띠울참숯석갈비도마점,대전 서구 계백로 1353-0,한식,1249
189,실비식당,대전 중구 선화로 126-10,한식,1235
190,매드포갈릭대전둔산점,대전 서구 둔산북로 56-0,전문음식,1230
191,사리원시청점,대전 서구 둔산남로91번길 16-0,한식,1229
192,백암골흑염소마을,대전 중구 태평로44번길 6-0,한식,1218
193,이비가짬뽕시청점 [중식],대전 서구 둔산중로40번길 19-0,외국식,1216
193,카페본타,대전 서구 정림서로 193-0,카페/찻집,1216
195,신호등장작구이대전점,대전 서구 갑천도시고속도로 1913-0,전문음식,1215
196,삿뽀로대전점,대전 서구 대덕대로 366-0,외국식,1213
197,하레하레둔산점,대전 서구 둔산로 155-0,간이음식,1209
198,손이가어죽칼국수,대전 중구 중앙로121번길 48-0,한식,1192
199,모습,대전 중구 보문산로 331-0,카페/찻집,1170
200,부추해물칼국수,대전 대덕구 신탄진로804번길 31-0,한식,1163
201,샤를몽탁,대전 동구 회남로 162-27,카페/찻집,1116
202,어썸80더대청,대전 동구 회남로79번길 107-0,카페/찻집,1112
203,누나돈까스,대전 동구 대학로 68-0,전문음식,1097
204,만수민물장어참숯구이,대전 중구 보문산로 331-0,전문음식,1079
205,토담한식뷔페가양본점,대전 동구 동대전로 340-0,전문음식,1043
206,문화농원,대전 중구 보문산로 186-45,한식,1023
207,이바돔감자탕가양점,대전 동구 동서대로 1734-0,한식,1014
208,원미면옥,대전 동구 옥천로 421-0,한식,1002
209,현암뚝방구이,대전 동구 대전천북로 114-0,한식,950
210,치앙마이방콕,대전 동구 철갑3길 8-0,외국식,947
211,신화수산활어회타운,대전 중구 산서로 16-0,전문음식,930
212,한마음정육식당와동점,대전 대덕구 장동로 75-0,한식,919
213,쌍청고기마을,대전 동구 동부로33번길 46-58,한식,884
214,왕손곱창,대전 대덕구 대화로 69-0,전문음식,871
215,만나대흥본점,대전 중구 대흥로 138-0,전문음식,839
216,매봉식당,대전 대덕구 계족로664번길 113-0,한식,821
217,대전갈비집,대전 중구 대전천서로 419-8,한식,820
218,박가네,대전 동구 동대전로 287-0,한식,818
219,도담[한식],대전 중구 계백로1630번길 11-0,한식,809
220,옥천순대매운족발,대전 대덕구 송촌로 9-0,한식,806
221,원조태평소국밥유천점,대전 중구 유천로 17-1,한식,801
222,조선,대전 동구 회남로79번길 60-0,전문음식,784
223,풍년삼계탕,대전 동구 계족로 407-0,한식,783
224,감자바위골식당,대전 중구 보문로20번길 14-4,한식,773
225,유씨네부엌,대전 중구 보문산공원로497번길 109-0,한식,766
226,이리추어탕,대전 동구 대전천동로 486-1,한식,765
227,광천순대,대전 동구 대전천동로 452-3,한식,760
228,별뜨는집,대전 중구 보문로162번길 66-0,한식,758
229,진주냉면이설옥,대전 중구 대전천서로 275-1,한식,754
229,성심당케익부띠끄본점,대전 중구 대종로 480-0,간이음식,754
229,한영식당,대전 중구 계룡로874번길 6-0,한식,754
232,동소예,대전 중구 충무로 125-0,한식,746
233,온천집,대전 동구 수향길 17-0,전문음식,738
233,에이디카페,대전 대덕구 대청로 260-0,카페/찻집,738
235,향미각[중식],대전 대덕구 쌍청당로 14-0,외국식,721
236,샤브쌈주머니대동점,대전 동구 동대전로46번길 11-0,전문음식,720
237,등촌샤브칼국수용전점,대전 동구 한밭대로 1322-0,한식,719
237,유가옥설렁탕중리점,대전 대덕구 한밭대로 1161-0,한식,719
239,보문산호랭이,대전 중구 중교로 84-1,외국식,717
240,별천지,대전 동구 산서로1659번길 29-0,한식,706
