순위,업소명,주소,분류,현지인 검색 수
218,자갈치왕짬뽕[중식],부산 강서구 공항로447번길 6-0,외국식,1564
219,디에이블달맞이점,부산 해운대구 달맞이길 129-0,전문음식,1556
220,우디브룩,부산 사상구 학감대로 2-0,카페/찻집,1555
221,일삼육고기집,부산 강서구 명지국제8로 293-0,한식,1551
221,용호동할매팥빙수단팥죽본점,부산 남구 용호로90번길 24-0,카페/찻집,1551
223,일미아구찜,부산 기장군 학리등대로 102-0,한식,1549
224,초원농원삼락본점,부산 사상구 낙동대로 1498-0,한식,1542
225,금수복국동래점,부산 동래구 충렬대로 210-0,한식,1538
226,딤타오,부산 해운대구 우동1로 25-0,외국식,1536
227,맛찬들왕소금구이대연동직영점,부산 남구 유엔평화로 36-0,한식,1523
228,수변최고돼지국밥센텀점,부산 해운대구 센텀3로 26-0,한식,1521
229,박가네순두부,부산 강서구 신호산단1로98번길 91-0,한식,1506
230,채선당자연한가득부산명지점,부산 강서구 명지국제1로 60-1,전문음식,1505
231,수월경화,부산 해운대구 송정중앙로6번길 188-0,카페/찻집,1504
232,해운대밀면,부산 해운대구 중동2로10번길 21-0,한식,1500
233,키치니토송정점,부산 해운대구 송정중앙로5번길 98-0,전문음식,1497
234,향유정속초이모네찜부산점,부산 기장군 대변로 105-0,한식,1480
235,대도식당해운대점,부산 해운대구 동백로 52-0,한식,1477
235,아시오,부산 부산진구 월드컵대로472번길 1-0,카페/찻집,1477
237,생어거스틴일루아호텔점,부산 해운대구 달맞이길 97-0,외국식,1470
238,목화기사식당,부산 동래구 차밭골로 19-1,한식,1466
238,송정집1호점,부산 해운대구 송정광어골로 59-0,한식,1466
240,고반식당해운대점,부산 해운대구 구남로12번길 16-0,한식,1463
241,방코,부산 강서구 새진목길 51-0,전문음식,1461
242,앙로고택,부산 강서구 식만로 122-0,카페/찻집,1458
243,서가네오리,부산 부산진구 가야공원로 83-33,전문음식,1457
244,효돈까스명지국제신도시점,부산 강서구 명지국제6로318번길 38-0,전문음식,1452
245,랩24바이쿠무다,부산 해운대구 송정광어골로 41-0,외국식,1449
246,신라농원,부산 북구 기찰로 7-0,한식,1447
246,영진돼지국밥신호점,부산 강서구 신호산단2로49번길 48-0,한식,1447
248,샤브막심해운대센텀점,부산 해운대구 센텀3로 26-0,전문음식,1441
249,흑송,부산 기장군 용수로 89-0,외국식,1438
250,씨랜드회센터,부산 수영구 광안해변로 299-0,전문음식,1433
251,소옥부산송정점,부산 해운대구 송정구덕포길 134-0,한식,1430
252,아틀리에은유재,부산 기장군 기룡2길 70-4,카페/찻집,1404
253,룸606,부산 강서구 명지국제6로 316-0,전문음식,1401
254,칠곡보리밥칼국수,부산 강서구 신호산단4로64번길 35-0,한식,1400
255,일광대복집,부산 기장군 이화로 3-0,전문음식,1379
256,웨스턴챔버,부산 기장군 병산로 221-19,카페/찻집,1360
256,수변최고돼지국밥송정직영점,부산 해운대구 송정중앙로9번길 8-0,한식,1360
256,선창횟집,부산 해운대구 달맞이길62번길 67-0,전문음식,1360
259,합천국밥집,부산 남구 용호로 235-0,한식,1359
260,카페오시오,부산 기장군 일광로 310-0,카페/찻집,1358
261,낙동강오리알본점,부산 강서구 상덕로 35-1,전문음식,1356
261,곰보식당,부산 사상구 낙동대로 1564-0,한식,1356
261,수미가칼국수,부산 강서구 영강길 157-0,한식,1356
264,S서울깍뚜기전포동점,부산 부산진구 서전로 49-0,한식,1355
265,이지요661,부산 사하구 다대로 661-0,카페/찻집,1344
265,김유순대구뽈찜전문,부산 남구 진남로 15-0,한식,1344
267,이재모피자서면점,부산 부산진구 전포대로209번길 21-0,간이음식,1341
267,스노잉클라우드,부산 해운대구 달맞이길117번가길 120-30,카페/찻집,1341
269,진주냉면대연점,부산 남구 유엔로 214-0,한식,1334
270,동원장수촌,부산 사하구 동매로 117-0,전문음식,1331
271,기와집,부산 금정구 오륜대로 245-0,전문음식,1327
272,국이네낙지볶음,부산 수영구 연수로 410-0,한식,1323
273,수복돼지국밥,부산 연제구 고분로 41-1,한식,1322
274,자매국밥,부산 수영구 민락본동로27번길 56-0,한식,1321
275,명지첫집오션시티직영점,부산 강서구 명지오션시티11로 74-0,전문음식,1320
276,사미헌,부산 부산진구 서면문화로 19-0,한식,1319
277,씨앤트리,부산 기장군 일광로 808-0,카페/찻집,1316
278,세연정가야점 [한식],부산 부산진구 가야대로 554-0,한식,1313
279,하기연진주냉면,부산 사하구 괴정로 34-0,한식,1304
280,얼크니손칼국수,부산 금정구 금강로 752-0,한식,1300
281,동래밀면,부산 동래구 명륜로 47-0,한식,1296
281,녹산용가든,부산 강서구 낙동남로682번길 94-0,한식,1296
281,부산조개창고,부산 기장군 구연3로 17-0,전문음식,1296
284,한그루양과점,부산 강서구 명지국제6로1번길 37-0,카페/찻집,1294
285,꿈꾸는요리사제과점2호점,부산 강서구 신호산단4로 54-0,간이음식,1293
286,우적명지점,부산 강서구 명지국제6로1번가길 6-0,한식,1290
