순위,업소명,주소,분류,현지인 검색 수
149,성북동빵공장,서울 성북구 대사관로 40-0,간이음식,3596
150,금왕돈까스,서울 성북구 성북로 138-0,전문음식,3595
151,오발탄송파본점,서울 송파구 위례성대로 206-0,전문음식,3585
152,앤헤이븐,서울 강남구 영동대로129길 22-0,전문음식,3583
153,대려도[중식],서울 강남구 역삼로 118-0,외국식,3582
154,우참판서래본점,서울 서초구 서래로 23-0,한식,3539
155,토속촌삼계탕,서울 종로구 자하문로5길 5-0,한식,3517
156,외고집설렁탕,서울 강남구 삼성로 555-0,한식,3507
157,하츠베이커리,서울 송파구 중대로 210-0,간이음식,3502
158,퀸즈파크청담점,서울 강남구 압구정로60길 22-0,전문음식,3500
159,연타발압구정본점,서울 강남구 도산대로 231-0,전문음식,3498
160,나리식당청담점,서울 강남구 선릉로152길 25-0,한식,3496
161,구름떡,서울 서초구 방배로33길 21-0,간이음식,3485
162,원두막,서울 양천구 신목로 56-0,한식,3457
163,뜨락,서울 강남구 영동대로142길 13-3,한식,3440
164,플레이버스바이바프,서울 강남구 강남대로158길 26-0,전문음식,3412
165,채운,서울 강남구 논현로175길 107-0,외국식,3410
166,미엘,서울 강남구 도산대로67길 13-12,카페/찻집,3407
167,도원한우,서울 강동구 진황도로 227-0,한식,3399
168,정인면옥,서울 영등포구 국회대로76길 10-0,한식,3388
169,오스테리아꼬또압구정점,서울 강남구 언주로165길 7-12,외국식,3385
170,쟝블랑제리,서울 관악구 낙성대역길 8-0,간이음식,3365
171,더라운드삼성점,서울 강남구 영동대로 648-0,외국식,3339
172,옥소반마곡본점,서울 강서구 마곡중앙6로 45-0,외국식,3336
173,이남장삼성점,서울 강남구 봉은사로108길 21-0,한식,3326
174,황도바지락칼국수,서울 송파구 백제고분로 358-0,한식,3318
175,붓처스컷도산점,서울 강남구 언주로 835-0,전문음식,3314
176,삿뽀로목동점,서울 양천구 목동동로 189-0,외국식,3312
177,샤브20발산역점,서울 강서구 공항대로 261-0,전문음식,3310
178,늘푸른목장잠실본점,서울 송파구 백제고분로9길 34-0,한식,3294
179,마포양지설렁탕,서울 마포구 새창로 6-0,한식,3286
180,오아시스,서울 강남구 도산대로55길 20-0,전문음식,3284
181,카페캐틀앤비양재점,서울 서초구 양재천로 131-0,카페/찻집,3258
182,랜디스도넛가로수길점,서울 강남구 도산대로15길 16-0,간이음식,3256
183,별양집,서울 강남구 테헤란로43길 17-0,전문음식,3248
184,장털보설렁탕본점,서울 송파구 중대로 304-0,한식,3245
185,대우부대찌개,서울 강남구 테헤란로25길 34-0,전문음식,3241
186,홍성원마곡점 [중식],서울 강서구 공항대로 206-0,외국식,3236
187,현해,서울 강남구 도산대로 318-0,전문음식,3230
188,코끼리베이글,서울 영등포구 선유로 176-0,간이음식,3228
189,압구정하루,서울 강남구 언주로172길 56-0,외국식,3227
190,김영모과자점대치점,서울 강남구 남부순환로 2927-0,간이음식,3197
191,해주냉면,서울 송파구 백제고분로7길 8-16,한식,3195
192,어머니대성집,서울 동대문구 왕산로11길 4-0,한식,3193
193,봉이밥,서울 강서구 마곡중앙로 171-0,한식,3179
194,망향비빔국수강서점,서울 강서구 양천로 720-0,한식,3163
195,대가방본점 [중식],서울 강남구 선릉로145길 13-0,외국식,3157
195,브라이언스커피,서울 강남구 논현로26길 46-0,카페/찻집,3157
197,버드나무집,서울 송파구 동남로 309-0,한식,3154
198,갈비명가이상본관,서울 성북구 정릉로 364-0,한식,3148
199,다운타우너잠실,서울 송파구 백제고분로45길 3-0,간이음식,3143
200,채선당플러스위례신도시점,서울 송파구 위례광장로 199-0,전문음식,3141
201,하이그라운드제빵소,서울 강북구 삼양로181길 157-0,카페/찻집,3136
202,벽제갈비방이본점,서울 송파구 양재대로71길 1-4,한식,3131
203,산삼청각,서울 송파구 송이로 151-0,한식,3127
204,서래본가,서울 서초구 사평대로 126-0,한식,3118
205,JS가든압구정점 [중식],서울 강남구 언주로174길 13-0,외국식,3111
206,인크커피가산점,서울 금천구 가산디지털2로 127-20,카페/찻집,3092
207,정담은보쌈신림점,서울 관악구 남부순환로 1661-0,전문음식,3090
208,스시히로바본점,서울 강남구 삼성로 620-0,외국식,3082
208,메종사우스케이프,서울 강남구 도산대로45길 17-0,전문음식,3082
210,수하동본점,서울 강남구 테헤란로78길 16-0,한식,3073
211,한티옥,서울 강남구 도곡로 418-0,한식,3072
212,10꼬르소꼬모청담점,서울 강남구 압구정로 416-0,전문음식,3068
213,소담촌마곡점,서울 강서구 마곡중앙6로 93-0,전문음식,3067
214,강서면옥압구정점,서울 강남구 언주로164길 19-0,한식,3062
215,등촌최월선칼국수,서울 강서구 화곡로64길 68-0,한식,3060
216,63뷔페파빌리온,서울 영등포구 63로 50-0,전문음식,3052
217,공릉본점닭한마리본점,서울 노원구 동일로 1020-0,한식,3045
218,만강수서점,서울 강남구 밤고개로21길 81-0,한식,3037
219,푸주옥,서울 양천구 남부순환로 663-0,한식,3036
220,김영모과자점서초성당점,서울 서초구 서초대로64길 41-4,간이음식,3019
221,이남장서초점,서울 서초구 서초대로49길 4-0,한식,3017
221,조선갈비,서울 강서구 공항대로 341-0,한식,3017
223,프로퍼커피바2호점,서울 송파구 오금로31가길 20-0,카페/찻집,2996
224,코끼리베이글한남점,서울 용산구 서빙고로91길 10-0,간이음식,2995
225,대나무골[한식],서울 서초구 법원로3길 15-0,한식,2971
226,황도바지락칼국수,서울 강동구 천호대로 1256-0,한식,2957
227,브랜뉴하이몬드,서울 강동구 천호옛14길 11-0,간이음식,2955
228,곤드레집,서울 서초구 청룡마을1길 1-0,한식,2950
229,설마중,서울 서초구 남부순환로 2648-0,한식,2947
230,애플하우스이수점,서울 동작구 동작대로27다길 29-0,간이음식,2946
231,경복궁목동점,서울 양천구 목동동로 189-0,한식,2941
232,북악정,서울 종로구 평창36길 6-0,한식,2907
233,청수장,서울 성북구 보국문로 229-0,한식,2903
234,망원동즉석우동,서울 마포구 동교로 83-0,외국식,2899
235,아리차이신림점 [중식],서울 관악구 신림동길 4-0,외국식,2890
236,퀸즈파크서래점,서울 서초구 동광로 95-1,전문음식,2880
237,닥터로빈강서점,서울 강서구 공항대로 396-0,전문음식,2860
238,봄담아,서울 강서구 마곡중앙로 59-17,한식,2859
239,TODAH,서울 서초구 성촌6길 39-0,카페/찻집,2857
239,가락골마산아구찜,서울 송파구 송이로19길 3-0,한식,2857
241,프로퍼커피바,서울 송파구 위례성대로22길 6-0,카페/찻집,2842
242,돈까스의집,서울 송파구 삼전로 100-0,전문음식,2810
242,착한낙지목동점,서울 양천구 국회대로 289-0,전문음식,2810
244,마부자생삼겹살,서울 강서구 마곡중앙5로 6-0,한식,2804
245,밀곳간,서울 성북구 성북로18길 19-0,간이음식,2800
246,감동식당,서울 노원구 한글비석로47길 58-0,한식,2795
247,제주은희네해장국잠실직영점,서울 송파구 송파대로49길 10-0,한식,2792
248,채빛퀴진,서울 서초구 올림픽대로 2085-14,전문음식,2781
249,황금콩밭,서울 마포구 마포대로16길 9-0,한식,2774
250,백제원등촌점,서울 강서구 공항대로 367-0,한식,2766
251,진주집,서울 영등포구 국제금융로6길 33-0,한식,2761
252,청와정,서울 노원구 동일로 1611-0,한식,2752
253,마곡오리,서울 강서구 양천로30길 11-0,전문음식,2751
253,훈장골발산점,서울 강서구 공항대로36길 9-0,한식,2751
255,신토불이떡볶이본점,서울 광진구 자양로43길 42-0,간이음식,2723
256,김가네설렁탕,서울 강서구 방화동로 52-0,한식,2709
257,이경진우렁쌈밥정식오금점,서울 송파구 중대로 310-0,한식,2699
258,수빈[한식],서울 서대문구 연희로25길 31-3,한식,2678
259,긴자올림픽점 [일식],서울 강동구 강동대로 223-0,외국식,2670
260,칼스토랑,서울 강서구 방화대로6라길 2-0,한식,2642
261,사모님짬뽕[중식],서울 강서구 금낭화로18길 10-0,외국식,2641
262,원할머니보쌈족발본점,서울 중구 난계로 201-0,전문음식,2633
263,갈비명가이상길음신관,서울 성북구 정릉로 395-0,한식,2628
264,갈비사랑,서울 서초구 강남대로 204-0,한식,2619
265,인덕원비빔국수양재직영점,서울 서초구 남부순환로 2656-0,한식,2606
266,매드포갈릭발산점,서울 강서구 공항대로 236-0,전문음식,2604
267,명인밥상,서울 송파구 송이로 157-0,한식,2600
268,화목순대국,서울 영등포구 여의대방로 383-0,한식,2586
269,금수복국서초점,서울 서초구 서초중앙로24길 22-0,전문음식,2584
270,맛찬들왕소금구이발산역점,서울 강서구 강서로 375-7,한식,2579
271,나정순할매주꾸미,서울 동대문구 무학로 144-0,전문음식,2575
272,차이797블랙서래마을점 [중식],서울 서초구 동광로 78-0,외국식,2566
273,세상의모든아침,서울 영등포구 여의대로 24-0,전문음식,2564
274,흥부골숯불돼지왕갈비,서울 송파구 백제고분로33길 35-0,한식,2562
275,일일향잠실점 [중식],서울 송파구 석촌호수로 290-0,외국식,2555
275,봉피양용산점,서울 용산구 한강대로40길 31-0,한식,2555
277,마포옥,서울 마포구 토정로 312-0,한식,2541
278,제일콩집,서울 노원구 동일로174길 37-8,한식,2538
279,한국의집[한식],서울 중구 퇴계로36길 10-0,한식,2509
280,서가앤쿡서울마곡점,서울 강서구 마곡동로 55-0,전문음식,2503
281,마복림떡볶이,서울 중구 다산로35길 5-0,간이음식,2493
281,오발탄서초점,서울 서초구 반포대로 154-0,한식,2493
283,광주똑순이아구찜,서울 강서구 강서로 375-8,한식,2492
284,춘향골남원추어탕오금본점,서울 송파구 위례성대로22길 18-0,한식,2478
285,르한스,서울 성북구 정릉로10길 127-0,전문음식,2460
286,훈장골신길점,서울 영등포구 도신로49길 3-0,한식,2444
287,소백산양재별관,서울 서초구 강남대로8길 36-0,한식,2437
288,밀화당강서직영점,서울 강서구 공항대로 236-0,간이음식,2425
289,저스티나,서울 마포구 양화진2길 31-0,카페/찻집,2418
289,해품장팔팔장어,서울 노원구 노원로 192-0,전문음식,2418
291,카페산아래,서울 강북구 삼양로181길 56-0,카페/찻집,2405
292,마실발산점 [한식],서울 강서구 공항대로 290-0,한식,2394
293,대도식당강남대로점,서울 서초구 강남대로 589-0,한식,2389
294,이촌동면옥이촌직영점,서울 용산구 이촌로54길 17-0,한식,2384
295,진동둔횟집,서울 서초구 강남대로91길 18-0,전문음식,2383
296,성수족발,서울 성동구 아차산로7길 7-0,전문음식,2380
297,홈수끼방이점,서울 송파구 위례성대로 134-0,전문음식,2377
298,커피빈방배카페골목점,서울 서초구 방배중앙로 187-0,카페/찻집,2376
299,능라도마곡점,서울 강서구 마곡동로 56-0,한식,2359
300,라라브레드공릉점,서울 노원구 공릉로41길 32-0,카페/찻집,2349
301,쭈꾸미킹2.0상봉점,서울 중랑구 송림길 13-0,전문음식,2348
302,방이샤브샤브칼국수방이본점,서울 송파구 오금로31길 42-0,한식,2341
303,봉산옥서초동본점,서울 서초구 반포대로8길 5-6,한식,2334
304,고메스퀘어수유점,서울 강북구 도봉로 308-0,전문음식,2328
305,짬뽕지존송파점 [중식],서울 송파구 오금로 152-0,외국식,2316
306,이종구낙지세상본점,서울 노원구 중계로 90-0,전문음식,2299
307,놀부유황오리잠실점,서울 송파구 오금로 131-0,전문음식,2293
308,송쉐프[중식],서울 송파구 백제고분로 357-0,외국식,2284
309,테라로사길동점,서울 강동구 천호대로 1221-0,카페/찻집,2281
310,문배동육칼,서울 용산구 백범로90길 50-0,한식,2265
311,서가앤쿡서울목동점,서울 양천구 오목로 286-0,전문음식,2263
312,밀파니,서울 송파구 위례서로 273-0,카페/찻집,2260
313,나폴레옹과자점목동점,서울 양천구 목동동로 401-0,간이음식,2258
314,홍익돈까스은평점,서울 은평구 북한산로 232-0,전문음식,2257
315,수라연[한식],서울 강동구 강동대로 143-64,한식,2232
316,태양커피,서울 서초구 서초대로25길 55-0,카페/찻집,2207
317,피자힐,서울 광진구 워커힐로 177-0,간이음식,2206
318,논현삼계탕송파점,서울 송파구 송이로 138-0,한식,2193
319,멕시칼리,서울 광진구 능동로36길 181-0,외국식,2187
320,미우야,서울 서초구 강남대로23길 90-0,전문음식,2186
321,하이디라오영등포점,서울 영등포구 경인로 870-0,외국식,2182
322,잠수교집3호점,서울 송파구 송파대로49길 51-0,한식,2180
323,채그로,서울 마포구 마포대로4다길 31-0,카페/찻집,2174
324,하이디라오서초지점,서울 서초구 서초대로77길 54-0,외국식,2173
325,서강8경,서울 마포구 토정로 128-0,전문음식,2171
326,오모리찌개잠실본점,서울 송파구 송파대로 471-0,한식,2168
327,한국순대,서울 서초구 바우뫼로35길 4-0,한식,2162
328,서석대,서울 서초구 서초대로 346-0,한식,2160
